Code,Food Group,Reference,Food Item Name,Mois,Energy,Energy,N,Prot,Fat,SAFA,MUFA,PUFA,Chol,CHO,"CHO,",Total,Added,Fiber,Starch,Ash,Ca,Fe,Mg,P,K,Na,Zn,Cu,Mn,I,Se,VitA-RAE,VitA-RE,Thia,Ribo,Niac,Vit B6,Folate,Vit B12,Panto,Biot,Vit C,Vit D,Vit E,Phytate
,,,,(g),(kCal),(kJ),(g),(g),(g),(g),(g),(g),(mg),Total (g),avail (g),Sugar (g),Sugar (g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mg),(mcg),(mg),(mcg),(mg),(mg)
MW01_0050,Staples,R31,Irish potato ,77.8,68,287,0.26,,2.3,0.1,0.03,0,0.04,0,14.4,12.8,,1.6,,0.6,6,,0.7,14,42,327,2,0.29,0.12,145,,,0,0.16,0.01,,1.4,0.211,3,0,0.34,0,14,0,0.06
MW01_0040,Staples,9,Maize - boiled or roasted ,68,133,564,0.52,3.3,1.5,,,,0,26.6,23.1,,0,3.5,,0.7,7,1.1,49,106,141,3,0.8,0.1,130,,,0,,0.08,0.03,0.6,0.047,7,0,,,0,0,0.47,
MW01_0019,Staples,6,Maize ufa mgaiwa (normal flour),12.3,374,1584,1.66,10.4,5.5,,,,0,70.8,65.5,,0,5.3,,1,18,3.8,92,2,312,11,1.71,0.23,,,,0,,0. 5,0.12,1.4,0.367,25,0,,,0,0,1.29,
MW01_0020,Staples,9,Maize ufa refined (fine flour),10,372,1575,1.24,7.7,3,,,,0,78.5,72.9,,0,5.6,,0.8,3,1.2,21,102,99,0,0.8,0.1,140,,,0,,0.39,0.05,1.6,0.377,30,0,,,0,0,0.5,
MW01_0014,Staples,R05,"Mandazi, doughnut (vendor)",49,211,892,1.08,6.8,3.8,,,,,37.5,37,,8.29,0.5,,0.6,58,2,15,97,128,38,0.25,,,,,24,,0.12,0.14,0.4,0.047,11,0.3,,,0,,0.05,
MW03_0011,Animal,26,Meat (vendor),73.1,129,541,,3.38,21.1,4.9,,,,,0,0,0,0,0,1.3,,8,1,18,146,207,43,1.6,,,,7,,0.09,,0.06,3.7,0.272,2,0.2,,,1,,0.28
MW03_0052,Animal,WA,Meat eaten at restaurant,68,165,690,2.8,17.5,10.6,,,,,0,0,0,0,0,0,1.1,11,2.4,27,150,385,82,3.45,0.16,,,,0,,0.18,0.29,6.1,0.4,5,1.1,,,0,,0.18,0
MW04_0019,Vegetables ,10,Nkwani,92.9,27,114,0.32,2,0.2,,,,0,4.2,3.2,,0,1,,0.6,1980,131.7,726,55,230,6,4.08,0.97,,,11,126,,0.05,0.07,0.5,0.111,32,0,,,23,0,4.54,
MW04_0030,Vegetables,9,Okra / Therere,84,61,260,0.43,2.7,0.3,0.02,0.01,,0,11.9,6.9,0.75,0,5,,1.1,104,1.3,77,95,382,11,0.94,0.14,,,,41,,0.06,0.13,1.1,0.345,138,0,,,44,0,0.57,
MW04_0031,Vegetables,10,Onion,89.1,43,181,0.14,0.9,0.1,,,,0,9.6,8.1,5.42,0,1.4,,0.4,307,4.4,184,32,172,14,3.62,1.13,0.2,,3,0,,0.03,0.01,0.1,0.115,2,0,,,6,0,0.02,
